performance,metadata,modelID,price,weight,width,height,2Dimage,metadata.1,connector,SWR,Freq-GHz,Gain-dBi,supplierURL
,,SpeedyBee 5.8,1749,8.2,20,70,,,SMA,1.1,5.8,2.5,
,,SpeedyBee 5.8,1749,3.7,20,87,,,UFL,1.1,5.8,2.5,
,,SpeedyBee 5.8,1749,4.27,20,87,,,MMCX,1.1,5.8,2.5,
,,SpeedyBee 5.8,1749,4.3,20,88,,,MMCX-L,1.1,5.8,2.5,
,,RushFPV Cherry2,949,5.0,20,120,,,SMA,1.1,4.9,2.5,
,,RunCam Antenna,999,10.0,16,170,,,SMA,1.1,5.8,2.5,
,,RunCam 5.8 ,599,1.5,11,82,,,MMCX-L,1.1,5.8,2.8,
,,RunCam 5.8 ,599,3.0,11,100,,,IPEX,1.1,5.8,2.8,
,,Albatross,699,7.0,15,85,,,SMA,1.75,5.8,2.4,
,,iFlight Albatross,699,3.0,10,90,,,"UFL, IPEX",1.62,5.8,2.4,
,,iFlight Albatross,699,3.0,10,155,,,"UFL, IPEX",1.62,5.8,2.4,
,,iFlight Albatross,699,3.0,10,195,,,"UFL, IPEX",1.62,5.8,2.4,
,,iFlight Albatross MMCX,699,2.6,10,150,,,MMCX,1.5,5.8,3.0,
,,iFlight Albatross MMCX,699,2.6,10,170,,,MMCX,1.5,5.8,3.0,
,,HGLRC Mini Hammer,599,4.0,13,87,,,"SMA, MMCX, UFL",1.5,5.8,2.5,
,,AKK IPEX,199,9.0,10,77,,,IPEX,1.5,5.8,2.18,
,,Dji O3 Air,2249,3.0,10,85,,,IPEX,1.5,5.8,2.18,
,,FlyFishRC Osprey,599,3.5,14,154,,,UFL,1.2,5.8,2.82,
,,FlyFishRC O3,1299,2.4,17,40,,,UFL,1.6,5.8,2.5,
,,FlyFishRC O3,1299,3.3,17,95,,,UFL,1.6,5.8,2.5,
,,FlyFishRC O3,1299,3.9,17,145,,,UFL,1.6,5.8,3.8,
,,Flywoo,999,4.0,10,125,,,SMA,1.5,5.8,2.2,
,,Flywoo,999,4.0,10,60,,,SMA,1.5,5.8,2.2,
