Model ID,Power (W),Thrust (N),Estimated Weight (g),Estimated Price (USD)
DS-215-DIA HST,15600,249.9715085,1560.0,7800.0
Powerfun 70mm,1140,17.65197,114.0,570.0
Freewing A-10 Twin 80mm,3200,56.87857,320.0,1600.0
Freewing AL37 Twin 70mm,2200,37.26527,220.0,1100.0
FMS 80mm,2287,31.97948565,228.70000000000002,1143.5
DS-51 HST (DSM4341),4200,63.743225,420.0,2100.0
DS-82 HST (DSM6029),5800,96.10517,580.0,2900.0
QX-Motor 64mm,450,18.1423025,45.0,225.0
Electric-Turbax 120mm,5200,62.2722275,520.0,2600.0
JetFan90,3600,40.011132,360.0,1800.0
DS-68-AXI HDS + HET 800-73,3200,47.07192,320.0,1600.0
EDF-8,6000,83.356525,600.0,3000.0
S-EDF 120mm,4500,56.87857,450.0,2250.0
DS-86-AXI HDS,5000,70.60788,500.0,2500.0
FMS 70mm 6S,1600,21.57463,160.0,800.0
Schubeler DS-51-AXI,1800,25.49729,180.0,900.0
XFly 70mm 8S,2400,27.45862,240.0,1200.0
Wemotec Midifan,3500,50.013915,350.0,1750.0
Freewing 80mm 6S,2100,28.439285,210.0,1050.0
HET 700-68-1400,3000,43.14926,300.0,1500.0
Changesun 90mm,4500,60.801230000000004,450.0,2250.0
Dr. Mad Thrust 64mm,880,13.2389775,88.0,440.0
RCLander 70mm,1000,15.69064,100.0,500.0
FlyFly 100mm,4200,56.87857,420.0,2100.0
JP Hobby 70mm,1800,24.516625,180.0,900.0
RC-Fan 80mm,2000,27.45862,200.0,1000.0
Cyclone Power 70mm,1250,18.632635,125.0,625.0
Stumax 110mm,7000,98.0665,700.0,3500.0
Kavan L-39 80mm,2500,33.34261,250.0,1250.0
SebArt Avanti S 90mm,3800,50.99458,380.0,1900.0
