Model ID,Manufacturer,performance,metadata,Dimensions (mm),Voltage (S),Power (W),Thrust (g),Product Link
DS-215-DIA HST,Schubeler,,,215,14,15600,25490,https://www.turbinesrc.com/en/schubeler/
Powerfun 70mm,Powerfun,,,70,4,1140,1800,https://fanjetsusa.com/product-category/fan-unit/
Freewing A-10 Twin 80mm,Freewing,,,80,6,3200,5800,https://www.motionrc.com/products/freewing-a-10-thunderbolt-ii-super-scale-twin-80mm-edf-jetv2-pnp-fj31114p
Freewing AL37 Twin 70mm,Freewing,,,70,6,2200,3800,https://www.motionrc.com/productsfreewing-al37-airliner-twin-70mm-edf-jet-pnp-fj31513p
FMS 80mm,FMS,,,80,6,2287,3261,https://www.motionrc.com/collections/new-rc-airplanes
DS-51 HST (DSM4341),Schubeler,,,93,12,4200,6500,https://www.turbines-rc.com/en/schubeler/ 
DS-82 HST (DSM6029),Schubeler,,,120,12,5800,9800,https://www.turbines-rc.com/en/schubeler/
QX-Motor 64mm,QX-Motor,,,64,6,450,1850,https://fanjetsusa.com/product-category/fan-unit/
Electric-Turbax 120mm,Jet Hangar Hobbies,,,120,12,5200,6350,https://www.jethangar.com/Ducted%20Fans/df.html
JetFan90,Jet Hangar Hobbies,,,90,12,3600,4080,https://www.jethangar.com/Ducted%20Fans/df.html
DS-68-AXI HDS + HET 800-73,Schubeler/HET,,,110,6,3200,4800,https://www.turbines-rc.com/en/het/
EDF-8,AVID Aerospace,,,254,12,6000,8500,https://www.avidaerospace.com/avid-edf-8
S-EDF 120mm,HSDJETS,,,120,8,4500,5800,https://hsdjetsusa.com/hsdjets-s-edf-120mm-half-metalelectric-ducted-fan
DS-86-AXI HDS,Schubeler,,,140,10,5000,7200,https://www.turbines-rc.com/en/schubeler/
FMS 70mm 6S,FMS,,,70,6,1600,2200,https://www.motionrc.com/collections/new-rc-airplanes
Schubeler DS-51-AXI,Schubeler,,,90,6,1800,2600,https://www.turbines-rc.com/en/schubeler/
XFly 70mm 8S,X-Fly,,,70,8,2400,2800,https://fanjetsusa.com/product-category/fan-unit/
Wemotec Midifan,WeMoTec,,,90,10,3500,5100,https://www.sarikhobbies.com/product-category/modelaircraft-builder/model-aircraft-plans/rc-model-aircraft-plans/electric/ducted-fan/
Freewing 80mm 6S,Freewing,,,80,6,2100,2900,https://www.motionrc.com/products/freewing-f-22-raptor-80mm-edf-jet-with-gyro-pnp-fj22311pg
HET 700-68-1400,HET,,,90,6,3000,4400,https://www.turbines-rc.com/en/het/
Changesun 90mm,Changesun,,,90,12,4500,6200,https://fanjetsusa.com/product-category/fan-unit/
Dr. Mad Thrust 64mm,Dr. Mad Thrust,,,64,4,880,1350,https://fanjetsusa.com/product-category/fan-unit/
RCLander 70mm,RCLander,,,70,4,1000,1600,https://fanjetsusa.com/product-category/fan-unit/
FlyFly 100mm,FlyFly,,,100,10,4200,5800,https://www.sarikhobbies.com/product-category/modelaircraft-builder/model-aircraft-plans/rc-model-aircraft-plans/electric/ducted-fan/
JP Hobby 70mm,JP Hobby,,,70,6,1800,2500,https://fanjetsusa.com/product-category/fan-unit/
RC-Fan 80mm,RC-Fan,,,80,6,2000,2800,https://fanjetsusa.com/product-category/fan-unit/
Cyclone Power 70mm,Cyclone Power,,,70,5,1250,1900,https://fanjetsusa.com/product-category/fanunit/
Stumax 110mm,Stumax,,,110,12,7000,10000,https://www.turbines-rc.com/en/stumax/
Kavan L-39 80mm,Kavan,,,80,6,2500,3400,https://www.turbines-rc.com/en/kavan-l-39-skyfox-80mm-jetpnp-grey
SebArt Avanti S 90mm,SebArt,,,90,8,3800,5200,https://www.turbines-rc.com/en/sebart-mini-avanti-sv2-90mm-jet-1-36m-arf-white-blue
