Model ID,Weight,performanc,metadata,Price (USD),Capacity,Dimensions (L×W×H),Material,Product Link
Du-Bro 2 oz,34 g,,,7.4,59 ml,69.85 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 4 oz,41 g,,,7.4,118 ml,95.25 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 6 oz,56 g,,,7.4,177 ml,98.43 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 8 oz,64 g,,,7.4,237 ml,123.83 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 10 oz,66 g,,,7.4,296 ml,123.83 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 12 oz,68 g,,,7.4,355 ml,136.53 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 14 oz,72 g,,,7.4,414 ml,136.53 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 16 oz,77 g,,,7.4,473 ml,149.23 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 20 oz,96 g,,,7.4,591 ml,177.8 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 24 oz,100 g,,,7.4,710 ml,190.5 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 32 oz,160 g,,,7.4,946 ml,196.85 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 40 oz,178 g,,,7.4,1183 ml,203.2 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 50 oz,186 g,,,7.4,1479 ml,212.73 × N/A × N/A mm,Plastic,https://www.dubro.com/products/fueltanks
Du-Bro 60 oz,182 g,,,7.4,1774 ml,219.08 × 129.29 × 113.28mm,Plastic,https://www.dubro.com/products/fuel-tanks
Du-Bro 80 oz,,,,7.4,2366 ml,273 × 133.86 × 119.51mm,Plastic,https://www.dubro.com/products/fuel-tanks
Du-Bro 100 oz,,,,7.4,2957 ml,305.7 × 144.78 × 126.75 mm,Plastic,https://www.dubro.com/products/fuel-tanks
Fourtitude 8 oz,40 g,,,22.0,236 ml,136.5 × 49.5 × 49.5 mm,Polypropylene,https://www.desertaircraft.com/products/copy-of-copy-of-copy-of-air-model-3-bladecarbon-props
Fourtitude 12 oz,40 g,,,22.0,354 ml,171.5 × 55.5 × 55.5 mm,Polypropylene,https://www.desertaircraft.com/products/copy-of-copy-of-copy-of-air-model-3-bladecarbon-props
Fourtitude 16 oz,43 g,,,22.0,473 ml,187.3 × 60 × 60 mm,Polypropylene,https://www.desertaircraft.com/products/copy-of-copy-of-copy-of-air-model-3-bladecarbon-props
Fourtitude 20 oz,50 g,,,22.0,591 ml,193.5 × 66.5 × 66.5 mm,Polypropylene,https://www.desertaircraft.com/products/copy-of-copy-of-copy-of-air-model-3-bladecarbon-props
Fourtitude 32 oz,57 g,,,22.0,946 ml,225.5 × 76 × 76 mm,Polypropylene,https://www.desertaircraft.com/products/copy-of-copy-of-copy-of-air-model-3-bladecarbon-props
Fourtitude 50 oz,85 g,,,22.0,1479 ml,279.5 × 86 × 86 mm,Polypropylene,https://www.desertaircraft.com/products/copy-of-copy-of-copy-of-air-model-3-bladecarbon-props
Fourtitude 64 oz,99 g,,,22.0,1893 ml,279.5 × 101.6 × 101.6 mm,Polypropylene,https://www.desertaircraft.com/products/copy-of-copy-of-copy-of-air-model-3-bladecarbon-props
