ModelID,Power (HP),Estimated Thrust (N),Weight_kg,Price,Estimated Range (km),Estimated Useful Load (kg),Estimated Cruise Speed (knots)
Admiral 125 cc,26.820400000000003,670.5100000000001,2.682,Not Available,1089.479302482383,1590.9542446000376,588.2717615995588
Currawong Cortex-50 Hybrid,2.816142,70.40355000000001,4.7,Not Available,251.5825782149396,74.12930922334044,135.84372473808833
Desert Aircraft DA-200,19.0,475.0,4.9668323999999995,Not Available,962.0033440940077,1096.8813350000003,519.4402505907169
DLE Engines DLE222,21.5,537.5,5.71,Not Available,1007.7430892196672,1254.8351287500002,544.1377371596475
Fly Dragon Drone Tech B2H70,6.0,150.0,2.88,Not Available,533.9620874397934,275.36746000000005,288.3164619005364
Flygas GAS 252,69.73304,1743.326,57.0,Not Available,1441.5308683646954,4300.3998278962545,778.3643997649542
Flygas Flygas-912-Rotax,140.00248800000003,3500.0622000000008,72.0,Not Available,1697.1359897993748,8731.032739765667,916.3801240817359
Great Power Engine GP178,21.5,537.5,3.55,Not Available,1007.7430892196672,1254.8351287500002,544.1377371596475
Hirth Engines 4202HF,14.751220000000002,368.7805,11.5,Not Available,868.247284648776,828.4150314040114,468.8160284280648
NGH GTF550,45.0,1125.0,12.0,Not Available,1280.383562478153,2739.133375,691.3518155929552
Northwest UAV NW-230,18.0,450.0,10.0,Not Available,941.9873798144133,1033.6971400000002,508.6324945002231
Pegasus Aeronautics GE70 Hybrid,5.36408,134.102,3.5,Not Available,492.2117015633014,235.1748953840015,265.7730569996228
RCV Engines DF140LC,11.5461822,288.654555,6.3,Not Available,777.3806575360285,625.8810568601024,419.75197491146247
ROTOmotor ROTO 170 FS,13.141996000000002,328.54990000000004,5.42,Not Available,825.4158103133155,726.7262974249692,445.6888824585937
Sky Power International SP-275 TS ROS,21.45632,536.408,7.842605679999999,Not Available,1006.9908362344279,1252.075442144024,543.7315530423476
Stinger Engines Stinger Pro 185 cc Twin,22.0,550.0,3.68,Not Available,1016.2461956002187,1286.4247400000002,548.7290473003341
Suter Industries TOA 288,23.601952000000004,590.0488000000001,9.2,Not Available,1042.2363549350825,1387.6322459142693,562.7626106560921
RCV Engines DF70,5.36408,134.102,3.0,Not Available,492.2117015633014,235.1748953840015,265.7730569996228
RCV Engines DF35,2.9502440000000005,73.75610000000002,2.0,Not Available,268.9838883036313,82.60564033616052,145.23968050952016
DLE Engines DLE60,,,,Not Available,,,
DLE Engines DLE120,,,,Not Available,,,
DLA Engines DLA180,,,,Not Available,,,
DLA Engines DLA64,,,,Not Available,,,
Orbital Corporation 50cc Heavy Fuel Engine,3.754856,93.87140000000001,3.0,Not Available,359.12118524744653,133.46304920816078,193.90992723944197
Sky Power International SP-55 FI TS ROS,,,,Not Available,,,
