componentID,type,performance,metadata,Brand,Model Name,Signal Type,price_USD,weight_g,length_mm,width_mm,height_mm,2Dimage,metadata,MinVolt_V,MaxVol_V,Torque@4.8V (kg/cm),Torque@6V (kg/cm),Speed@4.8V,Speed@6.0V,supplierURL
servo_MG90D,,,,Readytosky,MG90D,Digital,299,13,22.8,12.2,28.5,,,4.8,6.6,2.1,2.5,0.1,0.08,https://www.uavmarketplace.in/products/readytosky-mg90d-full-metal-gear-digitalservo/895789000000360078
servo_ES3351,,,,EMAX,ES3351,Digital,999,10.6,23.17,9.17,24.05,,,4.8,6,2,2.2,0.12,0.1,https://www.uavmarketplace.in/products/emax-es3351-mini-plastic-gear-digitalservo/89578900000359610
servo_ES09A,,,,EMAX,ES09A,Analog,899,11.6,23,12,24.5,,,4.8,6,2.2,2.4,0.11,0.09,https://www.uavmarketplace.in/products/emax-es09a-11-6g-plastic-analog-servo-for-rc-450helicopter/89578900000359597
servo_ES3005,,,,EMAX,ES3005,Analog,1159,42,38,19,37,,,4.8,6,10,12,0.16,0.14,https://www.uavmarketplace.in/products/emax-es3005-4-8v-6v-metal-analog-servo/895789000000359584
servo_ES3001,,,,EMAX,ES3001,Analog,539,37,38.6,28.8,34.9,,,4.8,6,3.2,4.2,0.14,0.17,https://www.uavmarketplace.in/products/emax-es3001-37g-plastic-analog-servo-for-rc-model/895789000000359571
servo_ES08MD,,,,EMAX,ES08MD,Digital,1199,13,23,11.5,24,,,4.8,6,1.6,2,0.12,0.1,https://www.uavmarketplace.in/products/emax-es08md-13g-mini-metal-digital-servo-for-rcmodel/89578900000059545
servo_ES3054,,,,EMAX,ES3054,Digital,1039,17,38.3,13,31.3,,,4.8,6,3,3.5,0.15,0.13,https://www.uavmarketplace.in/products/emax-es3054-20g-digital-metal-gear-servo/895789000000359558
servo_ES3054,,,,MFE,ES3054,Digital,2669,23,28.5,13,31.1,,,4.8,6,3.1,3.6,0.15,0.13,https://www.uavmarketplace.in/products/mfe-s3054-digital-servo/895789000002206872
servo_ES08A II,,,,EMAX,ES08A II,Analog,499,8.5,23,11.5,24,,,4.8,6,1.5,1.8,0.12,0.1,https://www.uavmarketplace.in/products/emax-es08a-ii-mini-plastic-gear-analog-servo/895789000000360689
servo_ES3004,,,,EMAX,ES3004,Analog,879,17,28,13,31,,,4.8,6,3,3.5,0.15,0.13,
servo_ES08MA ,,,,EMAX,ES08MA,Analog,599,12,23,11.5,24,,,4.8,6,1.6,2,0.12,0.1,
servo_SG90Mini,,,,Readytosky,SG90 Mini,Digital,299,9,21,12,23,,,3,7.2,1.2,1.6,0.12,0.1,
servo_ES3059MD,,,,EMAX,ES3059MD,Digital,599,12,27,11,23,,,4.8,6,1.8,2.1,0.13,0.11,
servo_ES3054-20G,,,,EMAX,ES3054 20G,Digital,1039,20,38,13,31,,,4.8,6,3,3.5,0.15,0.13,
servo_ES3352,,,,EMAX,ES3352,,21,12,23,10,26,,,6,8.4,1.7,2.4,0.18,0.1,https://www.getfpv.com
servo_ES3059,,,,EMAX,ES3059,,10,12,24,12,27,,,4.8,6,1.8,2.1,0.13,0.11,https://www.getfpv.com
servo_ES3054-20G,,,,EMAX,ES9052,,19,6,20,9,23,,,5,8.4,0.85,1.4,0.1,0.06,https://www.getfpv.com
S5455H,,,,FrSky,S5455H,,90,72,40,20,39,,,5,8.4,0.85,1.4,0.1,0.06,https://www.getfpv.com
S5403H,,,,FrSky,S5403H,,104,77,40,20,33,,,6,8.4,3,2,0.11,0.1,https://www.getfpv.com
HV5101,,,,FrSky,HV5101,,68,18,28,8,28,,,4.8,8.4,3,2,0.11,0.1,https://www.getfpv.com
